price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1330000.0,206.11111111111111,4,2,3,yes,no,no,no,yes,2,yes,furnished
1225000.0,248.88888888888886,4,4,4,yes,no,no,no,yes,3,no,furnished
1225000.0,276.6666666666667,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
1221500.0,208.33333333333331,4,2,2,yes,no,yes,no,yes,3,yes,furnished
1141000.0,206.11111111111111,4,1,2,yes,yes,yes,no,yes,2,no,furnished
1085000.0,208.33333333333331,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
1015000.0,238.3333333333333,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
1015000.0,450.0,5,3,2,yes,no,no,no,no,0,no,unfurnished
987000.0,225.0,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
980000.0,159.72222222222223,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
980000.0,366.66666666666663,3,1,2,yes,no,yes,no,yes,2,yes,furnished
968100.0,166.66666666666669,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
931000.0,181.94444444444446,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
924000.0,97.22222222222223,4,2,2,yes,no,no,yes,no,2,no,furnished
924000.0,216.66666666666669,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
910000.0,166.66666666666669,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
910000.0,183.33333333333331,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
896000.0,236.11111111111111,3,2,4,yes,no,no,no,yes,2,no,furnished
889000.0,127.77777777777779,3,2,2,yes,yes,no,no,yes,2,no,furnished
885500.0,178.33333333333331,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
875000.0,120.0,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
868000.0,198.75,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
864500.0,223.61111111111111,3,1,1,yes,yes,yes,no,yes,1,no,furnished
864500.0,126.66666666666664,3,2,2,yes,yes,yes,no,yes,1,no,furnished
857500.0,244.44444444444443,3,2,2,yes,no,no,no,yes,2,no,furnished
854000.0,181.66666666666669,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
846300.0,166.66666666666669,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
840000.0,246.52777777777771,3,1,1,yes,no,no,no,no,1,no,semi-furnished
840000.0,220.8333333333333,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
840000.0,152.77777777777777,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
840000.0,207.63888888888889,3,2,4,yes,no,no,no,yes,2,no,unfurnished
840000.0,194.44444444444446,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
829500.0,135.55555555555554,4,2,2,yes,no,no,no,yes,1,yes,furnished
819000.0,165.55555555555554,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
812000.0,190.0,5,1,2,yes,yes,yes,no,yes,1,no,furnished
808094.0,194.44444444444446,3,2,4,yes,no,no,no,yes,2,no,furnished
804300.0,207.83333333333334,3,2,3,yes,no,no,yes,no,1,yes,furnished
798000.0,250.0,4,2,4,yes,no,no,no,yes,2,no,furnished
796250.0,166.66666666666669,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
791000.0,166.66666666666669,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
787500.0,181.94444444444446,3,1,2,yes,no,yes,no,yes,0,yes,furnished
784000.0,176.66666666666669,3,2,4,yes,no,no,no,yes,0,yes,furnished
770000.0,180.0,3,2,4,yes,no,no,no,yes,2,no,unfurnished
770000.0,166.66666666666669,4,2,4,yes,no,no,no,no,2,no,semi-furnished
756000.0,166.66666666666669,4,2,4,yes,no,no,no,yes,1,no,furnished
756000.0,166.66666666666669,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
752500.0,166.66666666666669,3,2,4,yes,no,no,no,yes,1,no,furnished
749000.0,183.33333333333331,3,1,4,yes,no,no,no,yes,3,yes,furnished
745500.0,119.44444444444443,3,2,2,yes,no,yes,no,no,1,no,unfurnished
742000.0,206.66666666666669,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
742000.0,206.66666666666669,3,2,4,yes,no,no,no,no,1,yes,unfurnished
742000.0,175.69444444444446,3,1,4,yes,no,no,no,yes,1,no,unfurnished
735000.0,166.66666666666669,4,2,4,yes,yes,no,no,yes,1,no,furnished
735000.0,143.05555555555554,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
735000.0,166.66666666666669,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
735000.0,166.66666666666669,3,1,2,yes,no,no,no,yes,1,no,unfurnished
734300.0,317.77777777777777,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
724500.0,250.0,4,2,4,yes,yes,no,no,yes,1,yes,furnished
721000.0,213.33333333333331,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
721000.0,166.66666666666669,3,2,4,yes,yes,no,no,yes,1,no,furnished
714000.0,166.66666666666669,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
707000.0,246.66666666666669,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
707000.0,173.33333333333331,4,2,2,yes,no,no,no,yes,1,no,furnished
703500.0,176.66666666666669,4,2,3,yes,no,no,no,yes,2,yes,furnished
700000.0,310.4166666666667,3,1,1,yes,no,yes,no,yes,1,yes,furnished
693000.0,246.66666666666669,3,2,2,yes,no,yes,no,yes,1,no,furnished
693000.0,366.66666666666663,2,1,1,yes,no,yes,yes,no,1,no,furnished
689500.0,213.88888888888886,3,2,1,yes,no,no,no,no,2,no,unfurnished
686000.0,166.66666666666669,3,1,1,yes,no,no,no,yes,1,no,furnished
679000.0,335.83333333333337,4,2,2,yes,no,no,no,no,2,yes,furnished
679000.0,111.11111111111113,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
675500.0,166.66666666666669,4,2,4,yes,no,no,no,yes,0,no,unfurnished
672000.0,139.44444444444446,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
668500.0,183.33333333333331,2,2,4,yes,no,yes,no,no,0,yes,furnished
665000.0,112.22222222222221,3,1,2,yes,no,yes,yes,no,1,no,furnished
665000.0,118.33333333333334,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
665000.0,178.33333333333331,3,2,3,yes,no,no,no,yes,0,yes,furnished
665000.0,180.55555555555554,3,2,3,yes,no,no,no,yes,0,yes,furnished
665000.0,158.33333333333334,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
665000.0,166.66666666666669,3,2,3,yes,yes,no,no,yes,0,no,furnished
662900.0,166.66666666666669,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
661500.0,111.11111111111113,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
661500.0,291.6666666666667,3,2,1,yes,no,yes,no,yes,1,yes,furnished
658000.0,166.66666666666669,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
651000.0,104.44444444444444,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
651000.0,229.16666666666669,3,2,3,yes,no,no,no,yes,0,no,furnished
651000.0,185.27777777777777,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
647500.0,110.0,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
647500.0,205.83333333333331,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
644000.0,238.3333333333333,5,3,2,yes,no,no,no,no,2,no,furnished
644000.0,138.88888888888889,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
641900.0,187.5,2,1,1,yes,yes,yes,no,no,2,yes,furnished
640500.0,133.33333333333334,3,2,4,yes,yes,no,no,yes,0,no,furnished
630000.0,200.0,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
630000.0,166.66666666666669,4,2,4,yes,no,no,no,no,1,no,semi-furnished
630000.0,113.88888888888886,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
630000.0,250.0,3,1,1,yes,no,yes,no,no,1,yes,furnished
630000.0,177.77777777777777,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
629300.0,183.33333333333331,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
626500.0,166.66666666666669,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
623000.0,183.33333333333331,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
623000.0,152.77777777777777,3,1,3,yes,no,no,no,no,1,yes,unfurnished
619500.0,152.77777777777777,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
619500.0,176.38888888888889,3,2,3,yes,yes,no,no,yes,0,no,furnished
619500.0,152.77777777777777,3,2,1,yes,yes,yes,no,no,2,yes,furnished
616000.0,125.0,3,1,4,yes,no,no,no,yes,0,no,unfurnished
616000.0,151.38888888888889,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
612500.0,178.33333333333331,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
610750.0,90.0,4,1,3,yes,no,no,no,no,1,no,semi-furnished
609000.0,183.75,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
609000.0,183.33333333333331,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
609000.0,232.55555555555557,3,1,3,yes,no,no,no,yes,2,no,unfurnished
608300.0,119.44444444444443,6,2,2,yes,no,no,no,no,0,no,furnished
608300.0,267.22222222222223,3,1,1,yes,no,yes,no,no,2,yes,furnished
602000.0,188.88888888888889,2,1,1,yes,yes,yes,no,no,2,no,furnished
602000.0,222.22222222222226,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
602000.0,191.66666666666669,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
595000.0,102.77777777777777,4,1,2,yes,yes,no,no,yes,0,no,furnished
595000.0,178.33333333333331,3,1,1,yes,no,yes,no,yes,0,yes,furnished
595000.0,195.0,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
595000.0,181.66666666666669,3,1,1,yes,yes,yes,no,no,2,yes,furnished
595000.0,200.86111111111111,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
595000.0,173.72222222222223,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
595000.0,203.33333333333331,4,2,2,yes,no,no,no,no,0,no,furnished
595000.0,181.25,3,2,4,yes,no,no,no,no,1,no,furnished
594300.0,433.33333333333337,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
588000.0,198.88888888888889,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
588000.0,180.55555555555554,3,2,3,yes,no,no,no,yes,0,no,unfurnished
587300.0,152.77777777777777,3,1,3,yes,yes,no,no,yes,1,no,furnished
587300.0,318.3333333333333,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
586600.0,133.33333333333334,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
581000.0,161.88888888888886,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
581000.0,144.44444444444446,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
581000.0,133.33333333333334,3,1,3,yes,no,no,no,yes,0,no,unfurnished
580300.0,194.44444444444446,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
577500.0,166.66666666666669,3,2,4,yes,no,no,no,yes,0,no,unfurnished
574000.0,150.0,4,2,2,yes,no,no,no,yes,2,no,unfurnished
574000.0,128.88888888888889,4,1,2,yes,no,no,no,no,1,no,semi-furnished
574000.0,138.88888888888889,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
574000.0,176.66666666666669,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
574000.0,161.11111111111111,3,2,4,yes,no,no,no,yes,0,no,unfurnished
