Puntaje crediticio,Ingresos mensuales (USD),Monto del préstamo (USD),¿Default/No default?
5.3,6074.6,34159.9,0
4.1,4955.0,35168.6,0
4.4,4573.6,26852.8,0
3.1,6019.0,31500.9,0
5.0,1481.1,38094.6,1
5.7,3348.8,48531.8,1
6.2,696.1,46991.8,1
1.6,2409.8,46632.1,1
0.6,158.0,39841.5,1
1.8,6467.2,34601.0,0
3.9,5531.9,22076.9,0
1.2,4309.9,44785.6,1
1.7,6215.2,27922.9,0
0.1,5843.5,23393.6,0
1.8,1738.3,40795.4,1
2.8,4654.5,22397.7,0
1.0,999.0,48030.9,1
4.4,6048.9,39560.1,0
5.6,84.6,41310.2,1
5.5,4691.0,40167.8,1
0.2,5943.7,27073.5,0
6.5,2182.2,43765.4,1
7.5,3062.8,39458.6,1
5.0,2825.6,37281.9,1
2.8,6804.1,41590.2,0
1.6,6042.3,30271.9,0
6.1,973.1,40142.1,1
1.2,4708.3,26036.6,0
5.8,2448.8,42723.7,1
2.5,5201.6,37711.6,0
6.2,4576.5,39247.1,1
6.6,4489.6,39220.2,1
3.6,4764.0,39726.8,1
4.2,6606.0,36502.5,0
3.2,3543.2,39720.4,1
5.4,3732.5,43925.1,1
7.3,894.8,39726.1,1
0.4,3835.0,49749.4,1
0.9,5747.7,34700.3,0
4.6,2901.2,41600.6,1
3.8,5187.5,38524.3,0
2.8,4518.5,33858.1,0
1.0,5200.8,34502.9,0
1.8,1623.0,39268.0,1
5.0,6402.6,22650.6,0
0.4,1184.7,45222.6,1
4.1,6221.5,28373.0,0
4.2,4937.4,30557.8,0
4.1,6453.2,40187.8,0
0.6,6493.0,35167.2,0
1.4,5358.1,33127.9,0
4.2,6574.3,27222.6,0
2.4,414.4,44990.1,1
0.6,3057.0,39698.5,1
0.7,3603.3,43072.9,1
4.3,6578.6,23557.9,0
4.3,6172.3,40712.4,0
0.3,3855.8,43038.1,1
4.6,2315.4,43280.3,1
1.8,1062.9,44023.9,1
4.0,2627.5,49200.0,1
3.4,6925.1,33817.3,0
2.5,2608.1,45007.9,1
2.5,4844.8,23790.0,0
0.4,5259.5,38247.1,0
2.5,5767.4,39664.8,0
4.5,98.7,41645.0,1
2.5,4217.5,42627.9,1
2.5,6570.6,21216.5,0
1.1,5376.8,37707.6,0
3.8,4925.3,34931.9,0
2.5,3948.1,39410.8,1
4.0,6300.5,39079.7,0
5.5,897.0,39628.6,1
3.7,2201.9,39731.6,1
5.4,4797.5,31901.3,0
4.1,6667.3,33072.9,0
2.6,5728.7,37037.8,0
2.8,3519.1,43590.1,1
0.2,2727.6,48354.1,1
0.9,3244.1,48035.2,1
4.2,4332.2,23052.6,0
1.2,5066.2,40376.5,0
